ID, Description, Number, Location
W92000004,N/A,1739043,Wales
W92000004,2less,158919,Wales
W92000004,2_5,163384,Wales
W92000004,5_10,174625,Wales
W92000004,10_20,174245,Wales
W92000004,20_30,75403,Wales
W92000004,30_40,31059,Wales
W92000004,40_60,22351,Wales
W92000004,60plus,27546,Wales
W92000004,home,350470,Wales
W92000004,offshore,190447,Wales
E12000001,N/A,1508957,North East
E12000001,2less,129916,North East
E12000001,2_5,164729,North East
E12000001,5_10,163233,North East
E12000001,10_20,142730,North East
E12000001,20_30,45870,North East
E12000001,30_40,17390,North East
E12000001,40_60,12640,North East
E12000001,60plus,19154,North East
E12000001,home,282172,North East
E12000001,offshore,160222,North East
E12000002,N/A,4075652,North West
E12000002,2less,409185,North West
E12000002,2_5,496999,North West
E12000002,5_10,453727,North West
E12000002,10_20,361423,North West
E12000002,20_30,122872,North West
E12000002,30_40,49098,North West
E12000002,40_60,33463,North West
E12000002,60plus,37510,North West
E12000002,home,913829,North West
E12000002,offshore,463639,North West
E12000003,N/A,3019405,Yorkshire and The Humber
E12000003,2less,297802,Yorkshire and The Humber
E12000003,2_5,370838,Yorkshire and The Humber
E12000003,5_10,334329,Yorkshire and The Humber
E12000003,10_20,273360,Yorkshire and The Humber
E12000003,20_30,93990,Yorkshire and The Humber
E12000003,30_40,40573,Yorkshire and The Humber
E12000003,40_60,29518,Yorkshire and The Humber
E12000003,60plus,34069,Yorkshire and The Humber
E12000003,home,637370,Yorkshire and The Humber
E12000003,offshore,349519,Yorkshire and The Humber
E12000004,N/A,2607730,East Midlands
E12000004,2less,276575,East Midlands
E12000004,2_5,307892,East Midlands
E12000004,5_10,273972,East Midlands
E12000004,10_20,272014,East Midlands
E12000004,20_30,120861,East Midlands
E12000004,30_40,47940,East Midlands
E12000004,40_60,32800,East Midlands
E12000004,60plus,37853,East Midlands
E12000004,home,586025,East Midlands
E12000004,offshore,316394,East Midlands
E12000005,N/A,3311868,West Midlands
E12000005,2less,296330,West Midlands
E12000005,2_5,394137,West Midlands
E12000005,5_10,361449,West Midlands
E12000005,10_20,296894,West Midlands
E12000005,20_30,123626,West Midlands
E12000005,30_40,44528,West Midlands
E12000005,40_60,32545,West Midlands
E12000005,60plus,38874,West Midlands
E12000005,home,676936,West Midlands
E12000005,offshore,373570,West Midlands
E12000006,N/A,3306433,East of England
E12000006,2less,332129,East of England
E12000006,2_5,316559,East of England
E12000006,5_10,268403,East of England
E12000006,10_20,315828,East of England
E12000006,20_30,170260,East of England
E12000006,30_40,80093,East of England
E12000006,40_60,63791,East of England
E12000006,60plus,45649,East of England
E12000006,home,966487,East of England
E12000006,offshore,469442,East of England
E12000007,N/A,4439651,London
E12000007,2less,331191,London
E12000007,2_5,484894,London
E12000007,5_10,533671,London
E12000007,10_20,409530,London
E12000007,20_30,79897,London
E12000007,30_40,23145,London
E12000007,40_60,15808,London
E12000007,60plus,29917,London
E12000007,home,1836823,London
E12000007,offshore,615201,London
E12000008,N/A,4806285,South East
E12000008,2less,478840,South East
E12000008,2_5,477571,South East
E12000008,5_10,425138,South East
E12000008,10_20,411605,South East
E12000008,20_30,193432,South East
E12000008,30_40,84076,South East
E12000008,40_60,71477,South East
E12000008,60plus,63947,South East
E12000008,home,1603079,South East
E12000008,offshore,662614,South East
E12000009,N/A,3008852,South West
E12000009,2less,347026,South West
E12000009,2_5,322329,South West
E12000009,5_10,285380,South West
E12000009,10_20,266918,South West
E12000009,20_30,101160,South West
E12000009,30_40,52451,South West
E12000009,40_60,44539,South West
E12000009,60plus,48089,South West
E12000009,home,818531,South West
E12000009,offshore,405911,South West
W92000004,N/A,1739043,Wales
W92000004,2less,158919,Wales
W92000004,2_5,163384,Wales
W92000004,5_10,174625,Wales
W92000004,10_20,174245,Wales
W92000004,20_30,75403,Wales
W92000004,30_40,31059,Wales
W92000004,40_60,22351,Wales
W92000004,60plus,27546,Wales
W92000004,home,350470,Wales
W92000004,offshore,190447,Wales
